iso_a3,mean_gap,sem_gap,pixel_count,physical_area_km2
LAO,0.11808410286903381,0.0017619882710278034,6843.0,168448.109375
LVA,0.11882970482110977,0.0020389517303556204,2479.0,61023.36328125
LBN,0.303242951631546,0.010510344989597797,405.0,9969.5302734375
LSO,0.07257843017578125,0.0030354736372828484,1018.0,25059.2109375
LBR,0.5737375617027283,0.006159492302685976,3525.0,86771.828125
LBY,0.06308472156524658,0.002275576815009117,3139.0,77270.0078125
LIE,0.15603968501091003,0.04837640002369881,5.0,123.08060455322266
LTU,0.1406535506248474,0.0020811858121305704,2551.0,62795.7265625
LUX,0.16643263399600983,0.011145434342324734,106.0,2609.30908203125
MCO,,,,
MNG,0.08645810931921005,0.0009956572903320193,22058.0,542982.375
MNE,0.13703936338424683,0.0068560098297894,548.0,13489.634765625
MKD,0.21054114401340485,0.005354922264814377,1014.0,24960.74609375
MDG,0.1614450365304947,0.002010997151955962,14372.0,353782.90625
MWI,0.2818191349506378,0.0029547398444265127,3726.0,91719.671875
MYS,0.11600053310394287,0.0016243747668340802,9609.0,236536.3125
MDV,,,,
MLI,0.05297467112541199,0.0009161804337054491,19581.0,482008.25
MLT,0.00804558303207159,0.00537208141759038,10.0,246.1612091064453
MHL,,,,
MRT,0.0,0.0,5205.0,128126.90625
MUS,0.5893353819847107,0.029106786474585533,73.0,1796.976806640625
MEX,0.08085986226797104,0.0005599521100521088,51185.0,1259976.25
FSM,0.029536427929997444,0.005430439952760935,10.0,246.1612091064453
MDA,0.056374624371528625,0.0012320579262450337,1373.0,33797.93359375
NIC,0.052398502826690674,0.001476912759244442,4191.0,103166.1640625
OMN,0.0,0.0,1038.0,25551.53515625
PAK,0.08367416262626648,0.0010623469715937972,25785.0,634726.75
PLW,0.21674923598766327,0.04273928329348564,13.0,320.00958251953125
PAN,0.12095662206411362,0.004206361714750528,2086.0,51349.2265625
PNG,0.19964544475078583,0.002351068425923586,10515.0,258838.53125
PRY,0.1096118912100792,0.0011483851121738553,12351.0,304033.6875
PER,0.09244189411401749,0.0012722947867587209,18455.0,454290.5
PHL,0.4007398784160614,0.0025080458726733923,10746.0,264524.84375
POL,0.21240182220935822,0.0011508993338793516,12392.0,305042.9375
PRT,0.0766821950674057,0.0014188828645274043,3641.0,89627.296875
ROU,0.14998051524162292,0.0013052438152953982,9173.0,225803.6875
RUS,0.1245540902018547,0.00035996001679450274,205679.0,5063019.0
RWA,0.3012164533138275,0.006392382550984621,979.0,24099.18359375
WSM,0.5852397084236145,0.024476870894432068,102.0,2510.844970703125
SMR,0.13615044951438904,0.03436068817973137,2.0,49.232242584228516
TON,0.18386293947696686,0.03714366257190704,14.0,344.6257019042969
TTO,0.27634140849113464,0.023325778543949127,140.0,3446.2568359375
TUN,0.13959409296512604,0.0029313908889889717,3169.0,78008.4921875
TKM,0.08528807014226913,0.0015408816980198026,6233.0,153432.28125
STP,0.07772401720285416,0.019492747262120247,32.0,787.7158813476562
SAU,0.017390111461281776,0.0005572714144363999,6723.0,165494.1875
SEN,0.004195502493530512,0.0002768654958344996,6546.0,161137.140625
SVK,0.17783619463443756,0.003007950261235237,1898.0,46721.3984375
SVN,0.0894816592335701,0.003044309327378869,775.0,19077.49609375
SLB,0.010898441076278687,0.001987840747460723,256.0,6301.72705078125
SOM,0.003751223674044013,0.00026269463705830276,9699.0,238751.75
ZAF,0.0900421217083931,0.0007453432190231979,31910.0,785500.4375
SSD,0.08495857566595078,0.0014239652082324028,9429.0,232105.40625
ESP,0.14708124101161957,0.0010183382546529174,20054.0,493651.6875
LKA,0.26464977860450745,0.004315739963203669,2544.0,62623.4140625
KNA,0.11384248733520508,0.031093629077076912,8.0,196.92897033691406
LCA,0.020222757011651993,0.0056917364709079266,20.0,492.3224182128906
VCT,0.04890359565615654,0.015806812793016434,8.0,196.92897033691406
SDN,0.0005451270844787359,4.1375653381692246e-05,28452.0,700377.9375
SUR,0.07254832237958908,0.005545414984226227,375.0,9231.0458984375
SWZ,0.08789881318807602,0.00344893429428339,688.0,16935.890625
SWE,0.05153227970004082,0.0009065584745258093,8764.0,215735.6875
CHE,0.15871329605579376,0.0032692200038582087,1651.0,40641.21875
SYR,0.11176929622888565,0.0023930291645228863,4212.0,103683.109375
